country,currency,capital_city,region,continent,gdp,agricultural_land,forest_area,land_area,inflation,co2_emissions,health_expenditure_capita,hospital_beds,suicide_rate,birth_rate,death_rate,fertility_rate,internet_pct,life_expectancy,population_female,population_male,population,rural_population,urban_population,democracy_type,median_age,Density (P/Km²),Land Area (Km²),World Share
Barbados,Barbados dollar,Bridgetown,Caribbean,Americas,5637910000.0,100.0,63.0,430.0,4.10029,1096.07,1199.71,5.97,0.6,10.832,9.007,1.633,85.82,78.0,146550,135084,281635,193416,88219,Unknown,35.2,668,430,0.0
Belarus,Belarusian rubel,Minsk,Eastern Europe,Europe,72793500000.0,82810.0,87676.0,202980.0,15.2097,54801.5,408.095,10.83,21.2,9.283,16.544,1.483,86.89,72.0,4968656,4240046,9208701,1811720,7396981,Authoritarian,36.5,47,202910,0.12
Belgium,Euro,Brussels,Western Europe,Europe,578604000000.0,13646.1,6893.0,30280.0,9.59751,85364.1,5009.46,5.58,18.3,10.2,9.7,1.6,92.79,82.0,5903468,5765978,11669446,215535,11453911,Flawed democracy,37.1,383,30280,0.15
Belize,Belize dollar,Belmopan,Central America,Americas,2824080000.0,1720.0,12770.5,22810.0,3.23564,687.6,277.99,1.04,7.1,17.976,6.353,2.01,61.9942,70.0,201525,203747,405272,217242,188030,Unknown,21.6,17,22810,0.01
Benin,West African CFA franc,Porto-Novo,Western Africa,Africa,17401700000.0,39500.0,31351.5,112760.0,1.35078,7980.4,32.1271,0.5,7.8,36.608,9.434,4.973,33.9653,60.0,6663569,6689295,13352864,6738656,6614208,Hybrid regime,13.6,108,112760,0.16
Bhutan,Bhutanese ngultrum,Thimphu,Southern Asia,Asia,2539550000.0,5130.0,27250.8,38140.0,5.63917,1035.2,133.703,1.74,4.6,12.482,6.477,1.413,85.6369,72.0,368525,413930,782455,440632,341823,Hybrid regime,24.8,20,38117,0.01
Bolivia,Bolivian Boliviano,Sucre,South America,Americas,43068900000.0,377870.0,508338.0,1083300.0,1.74633,18375.3,241.118,1.29,6.2,21.836,9.945,2.618,65.9774,64.0,6097747,6126364,12224110,3565773,8658337,Hybrid regime,20.1,11,1083300,0.15
Bosnia and Herzegovina,Bosnia and Herzegovina convertible mark,Sarajevo,Southern Europe,Europe,24527500000.0,22160.0,21879.1,51200.0,14.0208,20946.8,591.406,3.49,10.9,8.42,15.712,1.35,75.6762,75.0,1641713,1591814,3233526,1621904,1611622,Hybrid regime,38.1,64,51000,0.04
Botswana,Botswana pula,Gaborone,Southern Africa,Africa,20352300000.0,258620.0,152547.0,566730.0,11.6656,5763.69,362.735,1.8,16.1,23.576,9.461,2.791,73.5,61.0,1331489,1298807,2630296,730591,1899705,Flawed democracy,19.7,4,566730,0.03
Brazil,Brazilian real,Brasília,South America,Americas,1920100000000.0,2368790.0,4966200.0,8358140.0,9.28011,414139.0,700.713,2.09,6.9,12.883,8.326,1.641,80.69,73.0,109580471,105733027,215313498,26795765,188517733,Flawed democracy,29.2,25,8358140,2.73
